type,sitecode,city,address1,address2,city,state,zipcode,telephone,fax,lat,lng,region_lat,region_lng,officename,servicing_states,,,region,_name,efile_fax,field_offices
RO,X23,Boston,"Thomas P. O'Neill, Jr. Federal Building","10 Causeway Street, Suite 565",Boston,MA,02222,(888) 870-7578,8336130456,42.36189,-71.062235,44.543505,-70.598145,"SSA, OHO","Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont",,,1,Region 1,,
HO,T24,Boston,4th Floor,One Bowdoin Square,Boston,MA,02114,(888) 870-7573,8337100405,42.36189,-71.062235,,,"SSA, OHO",,,,1,Region 1,(877) 787-5236,"MASSACHUSETTS: Attleboro, Boston, Brockton, Chelsea, Dorchester, Fall River, Falmouth, Fitchburg, Framingham, Gardner, Hanover, Hyannis, Malden, New Bedford, Norwood, Quincy, Roslindale, Somerville, Taunton, Waltham"
HO,X68,Hartford,William R. Cotter Federal Building,"135 High Street, Room 331",Hartford,CT,06103-1193,(866) 931-2878,8333590111,41.769697,-72.67994,,,"SSA, OHO",,,,1,Region 1,(877) 787-5224,"CONNECTICUT: Bristol, East Hartford, Hartford, Meriden, Middleton, New Britain, Torrington, Waterbury, Willimantic"
HO,T21,Lawrence,Suite 301,439 South Union Street,Lawrence,MA,01843,(877) 405-9189,8337750565,42.690827,-71.153598,,,"SSA, OHO",,,,1,Region 1,(877) 312-6172,"MASSACHUSETTS: Lawrence, Lowell, Lynn, Haverhill, Salem and NEW HAMPSHIRE: Portsmouth"
HO,Y06,Manchester,Suite 303,1750 Elm Street,Manchester,NH,03104,(888) 318-7973,8335630487,43.003925,-71.465507,,,"SSA, OHO",,,,1,Region 1,(877) 787-5233,"NEW HAMPSHIRE: Concord, Keene, Littleton, Manchester, Nashua and VERMONT: Burlington, Montpelier, Rutland"
HO,Y05,New Haven,Connecticut Financial Center,"157 Church Street, 7th Floor",New Haven,CT,06510,(866) 613-2750,8335630485,41.307082,-72.924731,,,"SSA, OHO",,,,1,Region 1,(877) 482-0827,"CONNECTICUT: Ansonia, Bridgeport, Danbury, New Haven, New London, Norwalk, Norwich, Stamford"
HO,X33,Portland,Suite 600,One Portland Square,Portland,ME,04101-4092,(877) 701-2137,8336320069,43.656604,-70.256148,,,"SSA, OHO",,,,1,Region 1,(877) 787-5229,"MAINE: Auburn, Augusta, Bangor, Portland, Presque Isle, Rockland, Saco, Waterville"
HO,Y04,Providence,"10th Floor, Suite 1000W",155 Westminster Street,Providence,RI,02903,(877) 583-4082,8335630483,41.823881,-71.411412,,,"SSA, OHO",,,,1,Region 1,(877) 787-5238,"RHODE ISLAND: Newport, Pawtucket, Providence, Warwick, Woonsocket"
HO,X67,Springfield,Suite 450,1441 Main Street,Springfield,MA,01103,(866) 964-5058,8333590109,42.102887,-72.590425,,,"SSA, OHO",,,,1,Region 1,(877) 787-5232,"MASSACHUSETTS: Greenfield, Holyoke, North Adams, Pittsfield, Springfield, Worcester"
RO,X24,New York,Room 34-102,26 Federal Plaza,New York,NY,10278,(212) 264-4036,8336311019,40.715216,-74.00367,42.130821,-75.948486,"SSA, OHO","New Jersey, New York, Puerto Rico, U.S. Virgin Islands",,,2,Region 2,,
HO,X37,Albany,2nd Floor,12 Corporate Woods Boulevard,Albany,NY,12211,(866) 643-3035,8336590413,42.652108,-73.751181,,,"SSA, OHO",,,,2,Region 2,(877) 379-8560,"NEW YORK: Albany, Gloversville, Hudson, Oneonta, Plattsburgh, Queensbury, Schenectady, Troy"
HO,X36,Bronx,2nd Floor - Suite 200,220 East 161st Street,Bronx,NY,10451,(866) 563-9573,8336320077,40.825576,-73.918458,,,"SSA, OHO",,,,2,Region 2,(877) 379-8661,"NEW YORK: East Bronx, Hunts Point, Laconia Avenue, North Bronx, South Bronx, West Farms"
HO,X34,Buffalo,2nd Floor,130 Delaware Avenue,Buffalo,NY,14202,(866) 348-5819,8336320071,42.889613,-78.873897,,,"SSA, OHO",,,,2,Region 2,(877) 379-8633,"NEW YORK: Batavia, Buffalo, Dunkirk, Jamestown, Niagara Falls, Olean, Ridge Road"
HO,T2E,Jersey City,Second Floor,325 West Side Avenue,Jersey City,NJ,07305,(877) 773-7451,8337210877,40.713398,-74.090082,,,"SSA, OHO",,,,2,Region 2,(877) 560-6890,"NEW JERSEY:  Clifton, Hackensack, Hoboken, Jersey  City, Paterson and NEW YORK: Hylan Boulevard, Staten Island"
HO,X70,Long Island,730 Federal Plaza,,Central Islip,NY,11722,(866) 931-4494,8333590115,40.760254,-73.190399,,,"SSA, OHO",,,,2,Region 2,(877) 379-8559,"NEW YORK: Freeport, Melville, Mineola, Patchogue, Riverhead, West Babylon"
HO,Y61,Mayaguez,Medical Emporium Building,"351 Ave Hostos, Suite 301",Mayaguez,PR,00680-1507,(866) 238-1384,8335110333,18.202884,-67.147176,,,"SSA, OHO",,,,2,Region 2,(877) 482-0821,
