ssa_office_code,ssa_office_name,address2,address1,city,state,zipcode,tel_public
1,PORTLAND ME,FLOOR 2,1355 CONGRESS ST,PORTLAND,ME,04102,(877) 319-3076
2,BANGOR ME,ROOM 10307,202 HARLOW ST,BANGOR,ME,04401,(877) 405-1448
3,AUGUSTA ME,SUITE 4,330 CIVIC CENTER DR,AUGUSTA,ME,04330,(866) 882-5422
4,AUBURN ME,SUITE 5,600 TURNER STREET,AUBURN,ME,04210,(833) 388-6432
5,PRESQUE ISLE ME,,365 MAIN ST,PRESQUE ISLE,ME,04769,(866) 837-2719
6,ROCKLAND ME,,169 CAMDEN ST,ROCKLAND,ME,04841,(855) 269-9179
7,MEADVILLE PA,,19063 PARK AVE PLAZA,MEADVILLE,PA,16335,(888) 347-9276
9,PHILA SOUTH PA,STADIUM PLAZA,3336 S BROAD STREET,PHILADELPHIA,PA,19145,(877) 575-5191
10,CONCORD NH,STE 100,70 COMMERCIAL ST,CONCORD,NH,03301,(888) 397-9798
11,PORTSMOUTH NH,ROOM 210A,80 DANIEL ST,PORTSMOUTH,NH,03801,(888) 397-9796
12,MANCHESTER NH,SUITE 201,1100 ELM ST,MANCHESTER,NH,03101,(866) 814-5408
13,LITTLETON NH,,177 MAIN ST,LITTLETON,NH,03561,(877) 405-7658
14,NASHUA NH,SUITE 2,175 AMHERST ST,NASHUA,NH,03064,(877) 444-0134
15,KEENE NH,,9 ELM STREET,KEENE,NH,03431,(877) 405-3651
19,BALTO NE MD,STE 106,2401 BELAIR RD,BALTIMORE,MD,21213,(866) 336-9653
20,BALTO WEST MD,SUITE S,1531 S EDGEWOOD STREET,BALTIMORE,MD,21227,(877) 870-6381
22,BURLINGTON VT,SUITE 107,128 LAKESIDE AVE,BURLINGTON,VT,05401,(877) 840-5776
23,RUTLAND VT,,246 WEST ST,RUTLAND,VT,05701,(866) 690-1944
24,MONTPELIER VT,,33 SCHOOL ST,MONTPELIER,VT,05602,(877) 505-4542
25,PAGO PAGO AM SAMOA,CENTENNIAL BUILDING,3RD FLR SUITE 302,PAGO PAGO,AS,96799,(855) 602-5033
26,CRENSHAW CA,,3840 CRENSHAW BLVD,LOS ANGELES,CA,90008,(877) 531-4693
27,SAN FERNANDO CA,,456 S F MISSION BLVD,SAN FERNANDO,CA,91340,(888) 383-1599
28,EAST OAKLAND CA,EASTMONT TOWN CENTER,7200 BANCROFT AVENUE,OAKLAND,CA,94605,(888) 527-9329
30,BOSTON MA,ROOM 148,10 CAUSEWAY STREET,BOSTON,MA,02222,(866) 964-7311
31,SPRINGFIELD MA,,70 BOND STREET,SPRINGFIELD,MA,01104,(866) 964-5061
32,CAMBRIDGE MA,FIRST FLR,10 FAWCETT ST,CAMBRIDGE,MA,02138,(888) 527-9340
33,ROXBURY MA,,10 MALCOLM X BLVD,ROXBURY,MA,02119,(855) 278-4195
34,LYNN MA,,140 UNION STREET,LYNN,MA,01901,(866) 366-7792
35,LOWELL MA,STE 300,151 WARREN ST,LOWELL,MA,01852,(877) 746-9850
36,WORCESTER MA,MADISON PLACE,51 MYRTLE ST,WORCESTER,MA,01608,(866) 331-9069
37,PITTSFIELD MA,FEDERAL BLDG SUITE 101,78 CENTER ST,PITTSFIELD,MA,01201,(866) 446-7111
38,NEW BEDFORD MA,HASTINGS KEITH FED BLD,53 NORTH 6TH STREET,NEW BEDFORD,MA,02740,(866) 964-7413
39,BROCKTON MA,,30 CHRISTY DR,BROCKTON,MA,02301,(888) 717-1524
40,FITCHBURG MA,PHILBIN FED BLDG,881 MAIN ST 1ST FLOOR,FITCHBURG,MA,01420,(877) 319-0728
41,LAWRENCE MA,SUITE 106A,439 S UNION ST,LAWRENCE,MA,01843,(877) 669-3127
42,FALL RIVER MA,,400 NORTH MAIN STREET,FALL RIVER,MA,02720,(866) 964-3967
44,HOLYOKE MA,2ND FLOOR,200 HIGH STREET,HOLYOKE,MA,01040,(877) 480-4989
45,MALDEN MA,,192 COMMERCIAL ST,MALDEN,MA,02148,(866) 596-8598
46,SALEM MA,SUITE 101,35 CONGRESS ST,SALEM,MA,01970,(866) 248-2394
47,QUINCY MA,SUITE 305,1515 HANCOCK ST,QUINCY,MA,02169,(866) 593-4392
48,DORCHESTER MA,,115 FREEPORT ST,DORCHESTER,MA,02122,(866) 931-2550
49,ATTLEBORO MA,,106 PLEASANT ST,ATTLEBORO,MA,02703,(888) 655-6469
50,HAVERHILL MA,,367 MAIN ST,HAVERHILL,MA,01830,(866) 964-4324
51,WALTHAM MA,SUITE 120,135 BEAVER STREET,WALTHAM,MA,02452,(877) 457-1737
52,NORWOOD MA,SUITE 102,ONE EDGEWATER DRIVE,NORWOOD,MA,02062,(866) 563-9533
53,FRAMINGHAM MA,SUITE 101,ONE CLARKS HILL,FRAMINGHAM,MA,01702,(844) 587-1390
54,HYANNIS MA,100 INDEPENDENCE DRIVE,SUITE 4,HYANNIS,MA,02601,(866) 467-0440
56,ROSLINDALE MA,,4238 WASHINGTON ST,ROSLINDALE,MA,02131,(866) 331-9173
57,TAUNTON MA,,104 DEAN ST,TAUNTON,MA,02780,(877) 505-4546
59,LANCASTER CA,42225 10TH ST W,STE A,LANCASTER,CA,93534,(866) 964-1725
60,MERCED CA,,600 WEST OLIVE AVE,MERCED,CA,95348,(888) 632-7069
61,SANTA CRUZ CA,,169 WALNUT AVENUE,SANTA CRUZ,CA,95060,(800) 593-8523
62,CHATSWORTH CA,,20439 NORDHOFF ST,CHATSWORTH,CA,91311,(855) 727-3598
63,MONTEBELLO CA,,2216 W BEVERLY BLVD,MONTEBELLO,CA,90640,(866) 964-7435
64,WATTS CA,,12429 AVALON BLVD,LOS ANGELES,CA,90061,(877) 836-1558
66,HAYWARD CA,SUITE 500,24301 SOUTHLAND DR,HAYWARD,CA,94545,(866) 964-5054
68,SANTA MARIA CA,,2436 PROFESSIONAL PARKWAY,SANTA MARIA,CA,93455,(866) 331-2316
70,PALM SPRINGS CA,,4201 E RAMON RD,PALM SPRINGS,CA,92264,(877) 873-9105
72,PROVIDENCE RI,6TH FLOOR,ONE EMPIRE PLAZA,PROVIDENCE,RI,02903,(877) 402-0808
